class,amount-observed,amount-collected,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,articles,articles-top,page,internet-mentions,twitter-mentions,region,population,habitat
e,3814,2683,x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,17.0,10.0,2206,11032,8176,au,y,g
e,2591,1711,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,11.0,6.0,2054,16983,12690,au,n,m
e,3240,2280,f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,7.0,5.0,2596,17111,11739,au,y,d
e,3809,2417,f,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,17.0,11.0,369,4711,3254,eu,v,d
e,3887,2890,f,s,c,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,9.0,4.0,1700,13031,10173,sa,v,p
e,3833,2798,x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,19.0,14.0,2764,7997,5623,sa,s,g
e,2927,2192,f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,11.0,6.0,1389,14626,10139,as,y,d
e,5030,3294,f,y,u,f,n,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,19.0,11.0,522,9061,5946,eu,v,d
e,3993,2638,x,f,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,2.0,1.0,1563,13798,9869,au,n,g
e,2302,1706,x,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,0.0,0.0,2459,10238,7491,na,y,d
p,4745,3409,x,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,1.0,1.0,387,3972,2807,au,y,d
p,686,515,x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,18.0,11.0,1898,8558,5676,af,v,d
p,3512,2515,k,y,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,14.0,8.0,1380,8426,5741,as,v,l
p,2922,1971,f,s,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,8.0,5.0,1751,10620,7641,as,v,l
p,3046,2117,f,y,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,16.0,9.0,3158,11101,8628,eu,v,l
e,2360,1583,x,s,n,t,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,7.0,4.0,1584,14988,10365,au,c,w
e,2201,1662,f,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,14.0,10.0,1170,6408,4331,as,s,g
p,3063,1861,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,17.0,11.0,2499,9296,6578,au,v,g
e,1331,916,x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,17.0,11.0,2930,10276,7178,na,v,d
e,2862,1769,f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,1.0,1.0,2462,9721,6753,af,v,d
e,2045,1428,f,s,p,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,18.0,11.0,1223,10728,7139,as,c,w
p,2913,1769,x,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,10.0,5.0,825,9244,5659,as,y,p
p,4212,2830,f,y,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,16.0,10.0,1024,5908,4173,eu,v,d
e,2641,1958,f,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,13.0,7.0,2298,12262,7035,na,y,d
p,2870,2126,x,s,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,19.0,12.0,1035,12417,8594,sa,v,l
p,4832,3148,f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,8.0,4.0,2927,11164,7913,sa,v,d
p,2530,1838,x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,3.0,2.0,2836,11955,7725,na,v,g
p,2685,1920,k,y,e,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,4.0,3.0,1916,-1083,-831,as,v,d
p,3301,2292,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,19.0,13.0,354,13845,10065,eu,v,g
p,3454,2192,x,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,15.0,9.0,1956,13066,7433,na,y,p
p,3471,2387,x,y,y,f,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,3.0,2.0,2581,10249,6770,na,v,d
e,2834,1931,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,19.0,13.0,3573,7067,4828,as,s,g
p,3105,1991,f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,13.0,9.0,1765,9882,7084,au,v,d
p,4088,2606,f,s,w,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,1.0,1.0,678,10085,6474,sa,s,u
e,2893,1968,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,16.0,10.0,2681,7811,5480,af,s,g
e,2250,1453,f,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,14.0,8.0,212,11824,8199,sa,y,d
e,1754,1200,x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,13.0,8.0,3014,12697,8572,af,v,d
p,2933,1791,x,y,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,19.0,9.0,1575,8494,6096,na,v,d
e,3518,2482,k,s,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,12.0,7.0,3335,10212,8462,au,s,g
e,2696,2058,x,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,2.0,1.0,1131,14595,9718,na,y,d
e,2482,1834,f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,12.0,6.0,2168,13673,9501,eu,y,d
e,3565,2519,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,11.0,7.0,2288,8406,5783,sa,s,g
e,2995,2197,x,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,18.0,10.0,2809,11384,8703,eu,y,d
p,5405,3569,k,s,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,19.0,13.0,122,12640,8841,af,v,l
e,1990,1390,b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,b,2.0,1.0,1095,10040,7294,au,c,l
e,1615,965,f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,13.0,8.0,816,13896,8836,af,s,g
e,4191,3294,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,14.0,9.0,1933,7296,5250,na,s,m
e,4097,2878,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,6.0,4.0,1409,11650,7952,af,s,m
e,1850,1201,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,13.0,8.0,568,9787,7032,na,s,p
e,3002,2092,f,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,4.0,2.0,571,8496,5815,eu,v,d
p,2900,2042,x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,5.0,3.0,3550,7946,4731,af,v,p
p,3557,2324,x,y,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,19.0,13.0,558,13711,9278,au,v,d
e,3369,2521,x,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,15.0,9.0,3109,10299,6896,na,v,d
p,3136,2141,f,s,w,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,18.0,11.0,1023,13099,8818,sa,s,g
e,4832,3327,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,12.0,8.0,2219,15393,12732,na,a,g
p,3170,2213,f,y,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,3.0,2.0,568,6901,4598,au,v,p
p,3888,2927,f,s,w,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,3.0,2.0,3204,10136,6978,as,s,g
p,2974,2201,x,s,w,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,1.0,1.0,2559,7183,4738,na,s,u
p,2823,2174,f,y,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,2.0,1.0,2205,15127,11597,eu,v,d
p,4087,2900,f,y,n,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,9.0,6.0,1943,12326,8757,sa,v,d
e,2908,1844,x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,7.0,4.0,2419,15719,11788,af,y,d
e,3727,2420,x,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,6.0,4.0,3718,8829,5735,eu,y,d
e,3285,2208,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,0.0,0.0,840,13528,8734,as,s,m
e,2222,1628,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,2.0,1.0,72,7158,4736,sa,n,g
p,2552,1910,f,y,w,t,n,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,13.0,7.0,1542,10484,6799,as,c,l
p,2875,1935,f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,14.0,10.0,2309,17591,13555,au,y,g
p,2254,1649,x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,3.0,2.0,3465,17569,13328,eu,y,g
p,2264,1660,f,s,e,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,0.0,0.0,1324,13266,10458,na,v,d
p,3486,2354,x,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,12.0,7.0,211,6927,4839,sa,v,l
e,1902,1267,x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,16.0,11.0,3792,10309,7185,as,s,g
e,3213,2356,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,6.0,4.0,3178,10025,6594,as,y,g
p,2317,1548,x,f,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,15.0,9.0,1287,8130,5217,eu,s,d
e,4421,3034,k,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,y,12.0,6.0,2866,12725,8896,au,c,l
e,2281,1441,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,10.0,6.0,1229,10380,7217,au,s,g
e,4119,3409,f,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,9.0,5.0,2015,7384,5024,eu,y,d
p,2959,2282,k,y,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,15.0,8.0,1992,5539,3848,as,v,d
e,2522,1698,x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,10.0,6.0,535,10877,7429,na,y,d
e,3367,2371,x,s,c,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,6.0,4.0,3763,15089,12538,na,y,p
e,3843,2480,f,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,11.0,6.0,2132,9058,6240,eu,y,d
p,2364,1582,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,14.0,9.0,1723,11367,8800,au,v,g
p,2912,2319,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,15.0,10.0,2382,12249,8737,na,y,g
p,1791,1106,f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,12.0,7.0,43,9102,5832,eu,y,p
p,2498,1720,f,s,b,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,11.0,6.0,1187,6654,4676,au,s,u
p,3296,2259,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,16.0,10.0,2204,17243,12531,na,s,g
p,1955,1413,f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,18.0,11.0,1872,5222,3572,as,v,g
e,2232,1619,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,0.0,0.0,1062,10899,7754,af,n,m
p,3554,2247,x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,4.0,2.0,211,16177,12930,sa,v,g
e,2615,1954,f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,4.0,2.0,2440,10035,6874,sa,s,g
p,3206,2558,f,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,7.0,4.0,844,11514,8920,au,v,u
e,3550,2515,f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,5.0,3.0,1834,12802,8282,sa,y,g
p,3489,2222,x,y,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,15.0,8.0,2902,10251,7120,na,v,l
p,2263,1839,f,y,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,16.0,8.0,1290,11923,8411,eu,v,p
e,2964,1955,x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,7.0,4.0,2615,9209,6276,au,v,d
e,2931,2078,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,12.0,7.0,3267,11159,8212,sa,s,g
e,2786,1870,f,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,13.0,7.0,652,11630,9027,au,v,d
e,3549,2837,x,s,g,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,13.0,8.0,1258,9869,7464,na,n,g
p,3225,1860,x,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,0.0,0.0,402,1633,1088,af,v,u
p,2729,2122,f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,17.0,10.0,2507,12816,9007,eu,y,d
e,2846,1665,x,y,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,10.0,6.0,2627,11662,8748,as,y,d
p,4006,2885,f,s,b,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,8.0,5.0,3523,16528,12360,sa,s,g
p,4121,2940,f,s,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,15.0,9.0,2916,14311,9588,af,v,d
p,3820,2835,k,y,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,11.0,7.0,795,11965,8443,af,v,p
e,2725,1869,x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,5.0,3.0,3119,11759,8619,eu,y,d
p,2213,1693,f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,12.0,7.0,2066,10758,7970,sa,y,p
p,3498,2552,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,13.0,9.0,1474,11130,8142,as,s,u
e,1731,1090,f,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,15.0,10.0,1466,8403,5825,au,y,d
e,2582,1956,x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,0.0,0.0,944,8033,5312,au,v,d
p,3296,2275,f,y,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,0.0,0.0,3243,12334,7522,na,v,d
p,4125,3060,x,y,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,8.0,4.0,2091,13643,9771,as,v,l
e,2675,1719,f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,16.0,8.0,2833,7373,4620,af,a,g
e,3966,2500,x,y,u,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,15.0,10.0,3629,5508,3726,as,v,d
p,2190,1429,f,y,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,16.0,8.0,1499,8551,6068,af,v,l
e,2378,1661,f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,12.0,6.0,356,5126,3690,eu,v,d
p,4349,3373,k,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,12.0,7.0,940,11123,7889,sa,v,l
p,3451,2128,x,y,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,18.0,11.0,2793,9330,7074,au,v,p
p,2762,2128,x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,1.0,1.0,2796,10991,7596,sa,y,d
e,3816,2618,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,3.0,2.0,3221,5537,3761,eu,n,m
p,2546,1628,f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,3.0,2.0,1173,13234,9842,au,y,p
e,3297,2425,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,17.0,11.0,1448,8998,6701,au,a,g
e,1143,718,x,s,w,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,16.0,11.0,1989,6423,4657,na,n,g
e,3187,2247,k,s,e,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,6.0,4.0,1277,6764,4827,as,c,w
p,2546,1644,k,y,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,13.0,7.0,3619,9879,6641,au,v,l
e,1514,1151,x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,0.0,0.0,642,17327,13052,as,a,g
e,2326,1628,x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,14.0,8.0,958,12991,8875,sa,v,d
e,2957,2222,x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,8.0,6.0,1589,9129,5831,eu,v,d
p,3153,2275,x,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,5.0,3.0,593,11125,7917,as,v,d
e,2907,1779,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,11.0,8.0,1853,13257,9130,af,n,m
p,2308,1662,f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,18.0,9.0,3177,8445,6198,na,y,d
p,1719,1343,x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,13.0,6.0,2656,10613,6261,sa,v,d
p,3475,2317,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,16.0,8.0,3017,11523,7776,au,v,u
p,2976,2229,x,f,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,16.0,10.0,963,5962,3780,sa,v,d
e,3402,2434,x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,10.0,6.0,2152,9330,6786,au,v,d
p,3051,2086,f,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,6.0,3.0,3025,14274,8289,af,v,p
e,2245,1570,f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,4.0,3.0,2201,12385,8048,au,a,g
e,3888,2797,x,s,n,t,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,15.0,10.0,1961,8184,5938,au,c,w
e,1675,1099,k,s,g,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,8.0,5.0,1937,8250,5760,eu,s,g
p,3580,2343,x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,15.0,10.0,1325,11924,9138,na,v,d
e,3016,1955,k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,1.0,1.0,3729,14286,9379,eu,c,l
e,3131,2581,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,8.0,4.0,936,13034,9117,sa,n,m
p,3489,2183,x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,10.0,6.0,896,13263,9644,sa,v,p
p,1938,1296,x,y,e,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,0.0,0.0,1635,15386,11236,na,v,l
p,2134,1520,f,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,16.0,10.0,2963,11056,8710,af,s,g
p,2971,2154,x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,1.0,1.0,229,13863,9571,as,v,p
e,2397,1886,x,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,1.0,1.0,3114,12056,8383,au,y,d
p,3698,2659,f,s,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,0.0,0.0,2983,14149,8673,na,v,l
p,2027,1386,f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,14.0,8.0,792,11394,7983,af,y,d
p,1938,1340,x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,10.0,6.0,2275,10297,7339,eu,y,p
e,4010,2815,b,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,y,16.0,8.0,3321,12435,8529,na,v,l
e,1681,1143,f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,5.0,3.0,2452,12208,7466,eu,a,g
p,2350,1659,f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,2.0,1.0,656,6739,4939,na,v,d
p,3489,2280,k,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,0.0,0.0,2251,13757,10766,as,v,l
e,2023,1392,x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,17.0,10.0,3207,11041,7636,eu,y,d
p,2745,1631,f,y,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,0.0,0.0,1063,11678,8325,na,v,p
p,3015,2162,x,s,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,3.0,2.0,1772,13362,10030,sa,v,l
e,3804,2709,f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,12.0,7.0,966,13335,9920,af,y,d
p,4196,3015,x,y,n,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,17.0,11.0,2162,9609,6287,na,v,l
e,2922,1939,f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,n,5.0,3.0,3790,14088,10657,na,c,l
e,1397,871,f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,4.0,2.0,26,10664,6575,na,y,p
e,1973,1309,x,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,3.0,2.0,3729,7641,5580,na,n,g
e,1578,1171,f,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,11.0,7.0,3438,8226,5970,na,a,g
p,2841,2084,x,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,19.0,11.0,3575,8822,6357,eu,v,d
e,2679,1854,x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,8.0,4.0,357,7973,5048,eu,y,d
p,4150,2882,x,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,14.0,8.0,1017,8271,5618,as,v,p
p,1700,1081,f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,19.0,12.0,2399,11163,7878,as,y,g
p,3196,2136,x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,19.0,12.0,3473,11260,8900,sa,y,d
e,3844,2487,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,14.0,9.0,2275,13645,8844,eu,v,u
p,3737,2805,k,s,e,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,16.0,9.0,746,7802,5291,as,v,d
e,3457,2341,x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,7.0,4.0,1326,7776,4623,na,v,d
p,2998,1911,x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,1.0,1.0,1646,6781,5048,au,v,d
e,2737,1960,x,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,11.0,5.0,1233,14120,11329,af,v,d
e,2971,1822,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,18.0,10.0,3638,10769,6811,au,a,g
e,3085,2166,x,y,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,3.0,2.0,640,14610,9596,na,v,d
p,3314,2547,f,s,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,4.0,3.0,1667,11167,7812,af,v,d
p,4228,2879,f,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,5.0,4.0,2929,12734,10087,af,v,d
p,2130,1407,x,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,6.0,4.0,604,11370,7732,as,v,d
e,2120,1543,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,6.0,4.0,3368,13030,10100,sa,n,m
e,3373,2636,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,7.0,4.0,1231,5239,3174,af,s,g
e,3008,2364,b,f,g,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,4.0,2.0,1773,7090,4849,au,s,g
p,3551,2705,x,s,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,3.0,2.0,2397,6039,4466,na,v,l
e,3614,2581,x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,4.0,3.0,655,8079,6156,na,y,d
e,1744,1237,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,5.0,3.0,87,9637,6183,as,n,m
p,3149,2312,f,s,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,14.0,9.0,726,9285,6685,na,v,p
e,3518,2125,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,2.0,1.0,3761,10313,7088,eu,s,g
p,2868,2225,x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,6.0,3.0,2204,7506,5820,sa,v,d
p,2002,1264,k,s,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,15.0,9.0,3716,8789,5884,as,v,d
e,3585,2811,x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,1.0,1.0,1620,13372,9790,sa,a,g
e,2967,2044,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,5.0,3.0,1996,7968,5758,af,y,p
e,2557,1741,x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,18.0,11.0,3821,10198,7140,sa,v,d
e,2557,1856,f,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,0.0,0.0,3406,10633,7681,af,v,d
e,3709,2667,x,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,8.0,4.0,3491,12392,8390,au,y,d
e,4271,3043,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,12.0,7.0,307,10759,6996,eu,s,g
p,2616,2052,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,13.0,8.0,968,8195,5235,sa,s,u
p,3018,2107,k,s,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,5.0,3.0,566,14479,11148,af,v,d
e,2360,1544,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,12.0,6.0,2095,6656,4337,na,s,g
